No.,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Fasum Rusak
1,3402,2009-12-31,TANAH LONGSOR,,BANTUL,DI YOGYAKARTA,-,,0,0,0,2,0
2,6106,2009-12-31,BANJIR,,KETAPANG,KALIMANTAN BARAT,-,,1,0,0,0,0
3,3207,2009-12-31,TANAH LONGSOR,,CIAMIS,JAWA BARAT,-,,0,0,0,0,0
4,3522,2009-12-30,BANJIR,,BOJONEGORO,JAWA TIMUR,-,,0,0,0,0,0
5,1401,2009-12-30,BANJIR,,KUANTAN SINGINGI,RIAU,-,,0,0,0,0,0
6,3401,2009-12-29,PUTING BELIUNG,,KULON PROGO,DI YOGYAKARTA,-,,0,0,0,1,0
7,1307,2009-12-28,TANAH LONGSOR,,AGAM,SUMATERA BARAT,-,,0,0,0,1,3
8,1371,2009-12-28,BANJIR,,KOTA PADANG,SUMATERA BARAT,-,,0,0,0,5,1
9,3403,2009-12-27,PUTING BELIUNG,,GUNUNGKIDUL,DI YOGYAKARTA,-,,0,0,0,19,0
10,5305,2009-12-27,PUTING BELIUNG,,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,-,,0,0,0,30,2
11,1110,2009-12-27,BANJIR,,BIREUEN,ACEH,-,,0,0,0,0,0
12,3519,2009-12-27,BANJIR,,MADIUN,JAWA TIMUR,-,,0,0,0,0,0
13,1174,2009-12-27,BANJIR,,KOTA LHOKSEUMAWE,ACEH,-,,0,0,0,0,0
14,3309,2009-12-27,PUTING BELIUNG,,BOYOLALI,JAWA TENGAH,-,,0,0,7,91,17
15,3307,2009-12-26,TANAH LONGSOR,,WONOSOBO,JAWA TENGAH,-,,0,0,0,5,0
16,3308,2009-12-26,BANJIR,,MAGELANG,JAWA TENGAH,-,,0,0,0,10,0
17,1111,2009-12-26,BANJIR,,ACEH UTARA,ACEH,-,,0,0,0,0,0
18,1801,2009-12-25,BANJIR,,LAMPUNG BARAT,LAMPUNG,-,,0,0,0,60,0
19,3204,2009-12-24,BANJIR,,BANDUNG,JAWA BARAT,-,,0,0,0,0,0
20,3329,2009-12-24,BANJIR,,BREBES,JAWA TENGAH,-,,0,0,0,0,0
21,3509,2009-12-23,TANAH LONGSOR,,JEMBER,JAWA TIMUR,-,,0,0,0,1,0
22,1118,2009-12-23,TANAH LONGSOR,,PIDIE JAYA,ACEH,-,,0,0,0,30,0
23,7405,2009-12-22,BANJIR,,KONAWE SELATAN,SULAWESI TENGGARA,-,,0,0,0,10,2
24,1402,2009-12-21,BANJIR,,INDRAGIRI HULU,RIAU,-,,0,0,0,0,0
25,1404,2009-12-21,BANJIR,,PELALAWAN,RIAU,-,,0,0,0,0,0
26,1118,2009-12-19,BANJIR,,PIDIE JAYA,ACEH,-,,0,0,0,21,40
27,1110,2009-12-19,BANJIR,,BIREUEN,ACEH,-,,0,0,0,0,26
28,1203,2009-12-16,TANAH LONGSOR,,TAPANULI SELATAN,SUMATERA UTARA,-,,3,0,2,0,0
29,5305,2009-12-15,PUTING BELIUNG,,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,-,,0,0,0,0,1
30,7315,2009-12-15,PUTING BELIUNG,,PINRANG,SULAWESI SELATAN,-,,0,0,0,61,0
31,5305,2009-12-14,PUTING BELIUNG,,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,-,,20,0,0,1,0
32,3511,2009-12-14,PUTING BELIUNG,,BONDOWOSO,JAWA TIMUR,-,,0,0,0,611,0
33,1106,2009-12-14,TANAH LONGSOR,,ACEH TENGAH,ACEH,-,,0,0,0,0,0
34,3307,2009-12-14,TANAH LONGSOR,,WONOSOBO,JAWA TENGAH,-,,0,0,0,0,1
35,3512,2009-12-14,PUTING BELIUNG,,SITUBONDO,JAWA TIMUR,-,,0,0,0,1074,0
36,9412,2009-12-14,TANAH LONGSOR,,MIMIKA,PAPUA,-,,1,0,5,0,0
37,1109,2009-12-13,BANJIR,,PIDIE,ACEH,-,,0,0,0,0,0
38,7402,2009-12-12,BANJIR,,MUNA,SULAWESI TENGGARA,-,,0,0,0,3,1
39,5305,2009-12-11,PUTING BELIUNG,,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR,-,,0,0,0,0,1
40,3316,2009-12-10,PUTING BELIUNG,,BLORA,JAWA TENGAH,-,,1,0,0,4,0
41,1173,2009-12-10,BANJIR,,KOTA LANGSA,ACEH,-,,0,0,0,0,0
42,3315,2009-12-10,PUTING BELIUNG,,GROBOGAN,JAWA TENGAH,-,,0,0,0,2,0
43,3317,2009-12-10,PUTING BELIUNG,,REMBANG,JAWA TENGAH,-,,0,0,0,200,0
44,3403,2009-12-09,PUTING BELIUNG,,GUNUNGKIDUL,DI YOGYAKARTA,-,,0,0,0,11,0
45,3317,2009-12-09,PUTING BELIUNG,,REMBANG,JAWA TENGAH,-,,0,0,2,718,1
46,1471,2009-12-09,BANJIR,,KOTA PEKANBARU,RIAU,-,,0,0,0,0,0
47,3302,2009-12-09,TANAH LONGSOR,,BANYUMAS,JAWA TENGAH,-,,0,0,0,0,1
48,3307,2009-12-09,PUTING BELIUNG,,WONOSOBO,JAWA TENGAH,-,,0,0,0,1,0
49,1111,2009-12-09,BANJIR,,ACEH UTARA,ACEH,-,,0,0,0,0,1
50,3401,2009-12-09,PUTING BELIUNG,,KULON PROGO,DI YOGYAKARTA,-,,0,0,0,6,0
51,3308,2009-12-08,PUTING BELIUNG,,MAGELANG,JAWA TENGAH,-,,0,0,0,54,0
52,1106,2009-12-08,TANAH LONGSOR,,ACEH TENGAH,ACEH,-,,0,0,0,3,0
53,3302,2009-12-08,PUTING BELIUNG,,BANYUMAS,JAWA TENGAH,-,,0,0,0,0,1
54,3322,2009-12-08,PUTING BELIUNG,,SEMARANG,JAWA TENGAH,-,,0,0,0,0,1
55,3301,2009-12-08,PUTING BELIUNG,,CILACAP,JAWA TENGAH,-,,0,0,0,19,0
56,7108,2009-12-08,BANJIR,,KEPULAUAN SIAU TAGULANDANG BIARO,SULAWESI UTARA,-,,4,1,3,51,3
57,7404,2009-12-07,PUTING BELIUNG,,KOLAKA,SULAWESI TENGGARA,-,,0,0,0,32,0
58,3201,2009-12-06,TANAH LONGSOR,,BOGOR,JAWA BARAT,-,,0,0,0,11,0
59,3307,2009-12-06,PUTING BELIUNG,,WONOSOBO,JAWA TENGAH,-,,0,0,0,2,0
60,3307,2009-12-06,TANAH LONGSOR,,WONOSOBO,JAWA TENGAH,-,,0,0,0,5,0
61,3302,2009-12-06,PUTING BELIUNG,,BANYUMAS,JAWA TENGAH,-,,0,0,0,0,0
62,1113,2009-12-06,TANAH LONGSOR,,GAYO LUES,ACEH,-,,0,0,3,0,0
